Jenis Usaha,Provinsi,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2010,"20,454.800","272,487,686"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2011,"16,746.800","251,202,000"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2012,"18,492.300","295,876,800"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2013,"20,530.000","315,768,921"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2014,"23,914.100","373,190,273"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2015,"24,930.750","393,447,645"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2016,"30,537.000","586,835,465"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2017,"8,708.838","147,971,866"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2018,"19,805.319","441,277,765"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2019,"32,723.135","630,565,000"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2020,"40,259.884","849,733,071"
BUDIDAYA PEMBESARAN,ACEH,BANDENG,2021,"21,964.937","557,948,318"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2010,"11,071.000","82,781,877"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2011,"9,542.740","124,055,620"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2012,"8,739.460","239,161,200"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2013,"10,997.100","171,425,024"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2014,"11,141.620","174,132,000"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2015,"10,637.650","185,663,300"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2016,"11,022.170","192,940,140"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2017,"25,074.424","426,039,538"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2018,"12,585.470","223,895,037"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2019,"12,456.430","231,674,802"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2020,"12,117.749","230,454,470"
BUDIDAYA PEMBESARAN,BANTEN,BANDENG,2021,"11,491.328","230,033,268"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2010,"3,821.100","9,313,200"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2011,"3,017.860","25,651,810"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2012,"3,394.700","32,249,650"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2013,"9,739.610","97,402,800"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2014,"9,111.390","136,670,850"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2015,"6,302.330","92,997,390"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2016,"15,006.780","225,101,700"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2017,"18,902.594","321,173,975"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2018,"15,934.300","165,488,603"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2019,"20,409.064","167,104,095"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2020,"18,219.453","150,583,765"
BUDIDAYA PEMBESARAN,GORONTALO,BANDENG,2021,"17,633.582","176,451,420"
